"code","iso","country","PPO.raw.2050"
275,"PSE","State of Palestine",8471025
729,"SDN","Sudan",84494269
740,"SUR","Suriname",725519
752,"SWE","Sweden",11778568
756,"CHE","Switzerland",9685882
760,"SYR","Syria",38306374
158,"TWN","Taiwan",NA
762,"TJK","Tajikistan",15200989
834,"TZA","Tanzania",129931520
764,"THA","Thailand",67880083
626,"TLS","Timor-Leste",1806869
768,"TGO","Togo",15478883
776,"TON","Tonga",131225
780,"TTO","Trinidad and Tobago",1485139
788,"TUN","Tunisia",14315779
792,"TUR","Turkiye",95829258
795,"TKM","Turkmenistan",8263833
796,"TCA","Turks and Caicos Islands",52865
798,"TUV","Tuvalu",13211
800,"UGA","Uganda",87622081
804,"UKR","Ukraine",35690236
784,"ARE","United Arab Emirates",11449471
826,"GBR","United Kingdom",70734980
840,"USA","United States of America",370866836
858,"URY","Uruguay",3337143
860,"UZB","Uzbekistan",46812812
548,"VUT","Vanuatu",578567
862,"VEN","Venezuela",35937404
704,"VNM","Viet Nam",107012939
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",55296331
894,"ZMB","Zambia",37460435
716,"ZWE","Zimbabwe",26438589
