"code","iso","country","CHG.raw.2000","CHG.raw.2001","CHG.raw.2002","CHG.raw.2003","CHG.raw.2004","CHG.raw.2005","CHG.raw.2006","CHG.raw.2007","CHG.raw.2008","CHG.raw.2009","CHG.raw.2010","CHG.raw.2011","CHG.raw.2012","CHG.raw.2013","CHG.raw.2014","CHG.raw.2015","CHG.raw.2016","CHG.raw.2017","CHG.raw.2018","CHG.raw.2019","CHG.raw.2020","CHG.raw.2021","CHG.raw.2022"
148,"TCD","Chad",1.17099120888112e-07,9.84228557846277e-08,9.74355562761144e-08,9.04023358285031e-08,7.39714355331849e-08,6.67167482908494e-08,6.81114484221264e-08,6.94870088153928e-08,6.91429079865197e-08,6.90862070623956e-08,6.42221619575431e-08,6.75463002619029e-08,6.51377087444112e-08,6.41403877576501e-08,6.27454861417244e-08,6.63980339385919e-08,7.48993628291917e-08,8.05636597293791e-08,8.32039918500967e-08,8.41600101481691e-08,9.07731418728457e-08,9.55506664918632e-08,9.7854360869531e-08
152,"CHL","Chile",3.79025463989897e-09,3.69484532287674e-09,3.53254948826684e-09,3.350483017306e-09,3.23678548450565e-09,3.03477335708838e-09,2.85531307750829e-09,2.7240257417633e-09,2.66227146974245e-09,2.68064173105591e-09,2.31633420076975e-09,2.30060096688984e-09,2.22371664224565e-09,2.09303961736395e-09,1.96271682023544e-09,1.85274968309565e-09,1.83881333511128e-09,1.84744966738675e-09,1.82988248510987e-09,1.80368239852238e-09,1.90599128096421e-09,1.69568353951389e-09,1.68090538872935e-09
156,"CHN","China",8.90266502870736e-09,8.28120120624754e-09,7.64635041831505e-09,7.30155746911278e-09,7.07939900113532e-09,6.70032596340214e-09,6.19928527049864e-09,5.53864562423078e-09,5.10209220824529e-09,4.73822954750624e-09,4.42576244208442e-09,4.29337162557127e-09,3.98036612389623e-09,3.74638067244531e-09,3.52431742954407e-09,3.29822892500206e-09,2.9953984685977e-09,2.82596189693678e-09,2.70851264457772e-09,2.58751570071501e-09,2.58739013517778e-09,2.44599367330244e-09,2.48787125067633e-09
170,"COL","Colombia",7.61802901312103e-09,7.65698185326384e-09,7.52348404134771e-09,7.34286642744232e-09,6.99555630932977e-09,6.7433175742075e-09,6.36261559641646e-09,6.10434551955174e-09,5.98961718623671e-09,6.02017419996549e-09,5.93012260390495e-09,5.42204153915656e-09,5.08279384906867e-09,4.86670999014466e-09,4.64181173830108e-09,4.41896992038709e-09,4.40173366427936e-09,4.44369372979702e-09,4.5013943070552e-09,4.51232835679637e-09,4.82106949965936e-09,4.42211145141573e-09,4.13838695369009e-09
174,"COM","Comoros",8.45902764855902e-09,8.64770146757964e-09,8.69978052805081e-09,8.45965887503037e-09,8.53917910672453e-09,8.4777621646318e-09,8.655132704548e-09,8.24971452586735e-09,8.52890228823856e-09,8.47032266861837e-09,8.51466026120242e-09,8.56291610009536e-09,8.58129388027348e-09,8.39396778463133e-09,8.44059107348967e-09,8.51869738161124e-09,8.28699488651846e-09,8.18500434857393e-09,7.97553888858283e-09,7.91437568322523e-09,8.04536684566057e-09,8.02974131754602e-09,7.9161263049869e-09
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",3.11867606751726e-09,2.99415356699018e-09,2.87654834592339e-09,2.75750202374652e-09,2.6578104122478e-09,2.42422957832527e-09,2.18191082891072e-09,2.17246150997038e-09,2.16908035343582e-09,2.2155456732018e-09,2.15474857964266e-09,2.11360484513478e-09,2.00335615965575e-09,2.00085619128181e-09,1.93240817059447e-09,1.90742733752341e-09,1.89251830422926e-09,1.87654691315195e-09,1.89643960356094e-09,1.88946442680536e-09,1.86525274198993e-09,1.68481535894933e-09,1.64161345596545e-09
384,"CIV","Cote d'Ivoire",5.18193219120111e-09,5.44353002288117e-09,5.94516288878916e-09,6.25597830917693e-09,5.95488335862588e-09,6.58352924427607e-09,6.43295437742419e-09,6.42165122968614e-09,6.05842283156781e-09,5.69881095137208e-09,5.52359776833859e-09,6.29225952175699e-09,6.04575284059846e-09,5.7279670714305e-09,5.12418414821597e-09,4.88562394343249e-09,4.95193813436087e-09,4.46048862271199e-09,4.21475294586278e-09,3.97173842278191e-09,3.96982296936989e-09,3.75803153823778e-09,3.58481934134109e-09
191,"HRV","Croatia",1.77027617555883e-09,1.82340267990757e-09,1.7342569063754e-09,1.70593627355645e-09,1.75949328985174e-09,1.6380617185106e-09,1.67279698819299e-09,1.67341985359316e-09,1.57113527539493e-09,1.7396797005932e-09,1.70441933467875e-09,1.68694246669188e-09,1.60107034657239e-09,1.57823864659259e-09,1.56547575473e-09,1.57467886856874e-09,1.5021257950591e-09,1.42582353857475e-09,1.3089611997513e-09,1.23213531366116e-09,1.31110514055978e-09,1.127094737188e-09,1.021854703304e-09
192,"CUB","Cuba",7.849615471475e-09,7.49903079943926e-09,7.40703001758714e-09,7.17494113911915e-09,6.58898799894045e-09,5.64102305499014e-09,5.1897503343291e-09,4.86566461505816e-09,4.76935996882037e-09,4.91638548719817e-09,4.6250184756157e-09,4.57256360789336e-09,4.43874002213848e-09,4.34322691103478e-09,4.29055192987546e-09,3.9617551664982e-09,3.9852551953164e-09,3.79275797910405e-09,3.72337081349203e-09,3.70141207440405e-09,4.0148128247806e-09,3.91067961747735e-09,3.80428554859747e-09
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",9.44723695242791e-10,9.42462077543675e-10,9.37028841322966e-10,8.97265395085381e-10,8.46797041446015e-10,7.89657233559382e-10,7.40398703010384e-10,7.14268139636126e-10,6.95430107788238e-10,7.12944553586882e-10,1.0518209496139e-09,1.03182239386541e-09,1.00713419500778e-09,1.02615646586301e-09,1.03412289425862e-09,1.02041235759295e-09,9.76685645523477e-10,9.44924368452168e-10,9.00142787691331e-10,8.61127450902401e-10,9.26067946226229e-10,8.84397628867136e-10,9.10375531513641e-10
203,"CZE","Czech Republic",1.86619866391838e-09,1.82245434912671e-09,1.76817436498076e-09,1.71780457758267e-09,1.64921105529377e-09,1.50195569568361e-09,1.41279871921665e-09,1.32967491848486e-09,1.2948888691527e-09,1.32893468496951e-09,1.32015606110577e-09,1.291714620489e-09,1.31323148003266e-09,1.26297646565748e-09,1.21017207180598e-09,1.14567574932628e-09,1.1122123892666e-09,1.05998166920152e-09,1.01749289927374e-09,9.78426531994449e-10,1.00637447747127e-09,9.71847439095141e-10,9.59905791402284e-10
180,"COD","Dem. Rep. Congo",2.73425072156917e-08,2.86792267859421e-08,3.08288138721802e-08,3.07928169251616e-08,3.00923579151132e-08,2.83528666869541e-08,2.75878846206073e-08,2.53346208409154e-08,2.4638181818161e-08,2.41459061950163e-08,2.3438102257493e-08,2.19304556096486e-08,2.40746918617196e-08,2.3345195819192e-08,2.19837975880697e-08,2.1300459266863e-08,2.12823079685815e-08,2.15608959168121e-08,1.99366823149511e-08,1.95190334961017e-08,1.94955268069155e-08,1.88429872543496e-08,1.75666473713967e-08
208,"DNK","Denmark",1.43598570671828e-09,1.46224216864797e-09,1.42899190692488e-09,1.40837680520792e-09,1.35343560861229e-09,1.31536456253481e-09,1.25893416881647e-09,1.25100864592042e-09,1.23339745254064e-09,1.25368219796035e-09,1.26966889235291e-09,1.22142214234756e-09,1.20469440438109e-09,1.17279700240221e-09,1.15070301088247e-09,1.12769028531549e-09,1.09545868754242e-09,1.06226250313525e-09,1.03846827165819e-09,1.00502402095743e-09,1.03165586856477e-09,9.66206944512625e-10,9.36339479383964e-10
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06999525411621e-08,1.01778278789231e-08,9.51423892494003e-09,9.26871175007494e-09,8.94016224571865e-09,8.53277213200486e-09,8.08447730700822e-09,8.0656374595011e-09,7.80669099224877e-09,7.68656605300186e-09
