"code","iso","country","CDG.raw.2000","CDG.raw.2001","CDG.raw.2002","CDG.raw.2003","CDG.raw.2004","CDG.raw.2005","CDG.raw.2006","CDG.raw.2007","CDG.raw.2008","CDG.raw.2009","CDG.raw.2010","CDG.raw.2011","CDG.raw.2012","CDG.raw.2013","CDG.raw.2014","CDG.raw.2015","CDG.raw.2016","CDG.raw.2017","CDG.raw.2018","CDG.raw.2019","CDG.raw.2020","CDG.raw.2021","CDG.raw.2022"
152,"CHL","Chile",2.47201500323073e-07,2.16768564281012e-07,2.17650974176722e-07,2.08837414607631e-07,2.1043875943436e-07,2.05208062434612e-07,2.02758571762233e-07,2.12132180600769e-07,2.04607857503773e-07,1.9345147819902e-07,1.97685050832308e-07,2.03640919000544e-07,1.95639956166077e-07,1.94407264929476e-07,1.81293958176197e-07,1.8706403696997e-07,1.89389898961985e-07,1.86604065942565e-07,1.80085330483136e-07,1.94715341450046e-07,1.80850748366294e-07,1.79735725988996e-07,1.66273114057034e-07
156,"CHN","China",8.37309622044593e-07,7.89682105799442e-07,7.96276705227332e-07,8.53809331567883e-07,8.35649514840997e-07,8.45756963898285e-07,8.28400292660207e-07,7.79829771140194e-07,7.63938792270934e-07,7.34573525907946e-07,7.25339282005309e-07,7.32131924068678e-07,6.96340085805557e-07,6.57854946645333e-07,6.14982567451221e-07,5.6695931037364e-07,5.2513742408269e-07,5.03400946139851e-07,4.87717608486706e-07,4.7664715425958e-07,4.74601805212415e-07,4.54563217806292e-07,4.43720108056186e-07
170,"COL","Colombia",1.57917444816947e-07,1.56016278467221e-07,1.49669700876868e-07,1.4783145932395e-07,1.33665935893459e-07,1.40376743413037e-07,1.36226363515894e-07,1.23913082725863e-07,1.32810807602897e-07,1.42093013634805e-07,1.43123255701401e-07,1.33751002532307e-07,1.35521924918262e-07,1.41511498914993e-07,1.51065061855892e-07,1.44473776456084e-07,1.45777424181821e-07,1.33130483135695e-07,1.22539255395311e-07,1.28823467853716e-07,1.31890536573158e-07,1.26791724369152e-07,1.2281879276533e-07
174,"COM","Comoros",6.67560434246897e-08,6.75639828778781e-08,6.60288485563262e-08,8.2507844199289e-08,8.75176286630453e-08,8.29752261833716e-08,9.32717830278349e-08,5.96314058952763e-08,5.93352493369103e-08,7.0883006391312e-08,8.12248206313615e-08,6.91303084202953e-08,7.21616476856571e-08,8.2233951772431e-08,7.0872829713735e-08,7.8031268015559e-08,9.09365181009145e-08,1.08379182332761e-07,1.14597547010853e-07,1.19653066154547e-07,1.46685899939715e-07,1.56496945188528e-07,1.5197471571754e-07
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",1.07831687077865e-07,1.09461753742228e-07,1.16657112663241e-07,1.17866105467312e-07,1.1731538122626e-07,1.10878035666454e-07,1.07662306863253e-07,1.13035304873318e-07,1.08317684886291e-07,1.05959873477808e-07,9.72576497107247e-08,9.08951402740578e-08,8.60623483101884e-08,8.82633949775435e-08,8.65485302669622e-08,7.98104388470322e-08,8.1243160402244e-08,7.97185735760226e-08,7.75254420144391e-08,7.27290919781042e-08,6.67462459542938e-08,7.00973424450581e-08,6.92523316292412e-08
384,"CIV","Cote d'Ivoire",9.57513278970647e-08,1.12848970061429e-07,1.12990925896414e-07,8.43765089364761e-08,1.13949024851529e-07,1.15545594793247e-07,1.02321682945367e-07,9.77688268763057e-08,9.41384296777682e-08,7.66150756280044e-08,7.88600725037982e-08,8.73308015144768e-08,1.0623618896875e-07,1.08716476343956e-07,1.01695286389331e-07,9.15311595248585e-08,1.07107977713894e-07,9.98775402582701e-08,8.21712807968711e-08,7.8503915993865e-08,8.07046510886985e-08,8.0290409074145e-08,7.52501642211932e-08
191,"HRV","Croatia",2.40025152506432e-07,2.46068151835584e-07,2.44891610755385e-07,2.4596345966904e-07,2.32750041467725e-07,2.27573891715632e-07,2.18827534401684e-07,2.20109792026027e-07,2.04806525475952e-07,2.03947613075498e-07,1.99020954400861e-07,1.95705952556403e-07,1.85154063365831e-07,1.79570346856908e-07,1.73000396108229e-07,1.70110213447651e-07,1.66883543858026e-07,1.67035183192818e-07,1.53643887329872e-07,1.49678838204719e-07,1.54678576723899e-07,1.41175724767851e-07,1.33650102945589e-07
192,"CUB","Cuba",3.60013742576987e-07,3.41326145853843e-07,3.40638631885056e-07,3.33580029385921e-07,3.06609573824844e-07,2.86553257161954e-07,2.61615717651243e-07,2.38319389582149e-07,2.45528294331664e-07,2.44496049885074e-07,2.87590516223035e-07,2.40743299657499e-07,2.36933103172266e-07,2.17353871796531e-07,2.11149170227785e-07,2.15799561660011e-07,2.05248189980035e-07,1.7852834031014e-07,1.61904686537843e-07,1.5856358033248e-07,1.67497208347552e-07,1.62805715628537e-07,1.5981835643413e-07
531,"CUW","Curacao",1.30283025332077e-06,1.33595226258186e-06,1.28287040815412e-06,1.28003505745711e-06,1.34022166529732e-06,1.3194064327545e-06,1.35295130951906e-06,1.48639436823285e-06,1.39908019824761e-06,1.43922680886837e-06,9.90545817340219e-07,1.25596839188099e-06,1.52763732108178e-06,1.45218179471218e-06,1.68513782030821e-06,1.81158938746805e-06,1.544274667368e-06,1.25998686586349e-06,1.11870940289408e-06,6.01988721267526e-07,5.94563846208711e-07,5.49672921446231e-07,NA
196,"CYP","Cyprus",3.10735238566067e-07,2.93614816567327e-07,2.90820730739389e-07,2.98811043567813e-07,2.93132165971913e-07,2.85616205097398e-07,2.80563412111111e-07,2.7734133440713e-07,2.74261545035927e-07,2.72017046948506e-07,2.54356157332867e-07,2.43498713563802e-07,2.35195622236974e-07,2.28202241091901e-07,2.4532360334163e-07,2.37922464438797e-07,2.36123191435124e-07,2.27260730348988e-07,2.09891510556677e-07,1.99453839577159e-07,1.96318121185126e-07,1.87251428390556e-07,1.77267462512009e-07
203,"CZE","Czech Republic",4.96752362282261e-07,4.81735569481334e-07,4.62448335945736e-07,4.59419799997882e-07,4.40791605914766e-07,4.05111411453477e-07,3.82044746095647e-07,3.67110627712027e-07,3.42382542862595e-07,3.35881703560797e-07,3.35002314771049e-07,3.22794137952928e-07,3.14323913031136e-07,3.01567970271543e-07,2.88054656920855e-07,2.75335171037965e-07,2.72762726721498e-07,2.6202107607841e-07,2.5050671775482e-07,2.30965095539745e-07,2.21831457229977e-07,2.25826566546305e-07,2.23376006112263e-07
180,"COD","Dem. Rep. Congo",4.81525088579731e-08,4.75334698795142e-08,4.86053925057664e-08,5.56442016032051e-08,5.04398813644219e-08,5.36211433034755e-08,5.2340184116417e-08,5.49456372109336e-08,5.29536283604152e-08,4.68925673865959e-08,4.89684872009367e-08,5.09299671968336e-08,4.37521528912361e-08,5.6512891083895e-08,6.67021240228521e-08,4.03422915746227e-08,3.07741673973829e-08,3.59633963701328e-08,3.69715618891868e-08,3.76966369764009e-08,3.8266093503667e-08,3.82753635441791e-08,3.21157093833642e-08
