"code","iso","country","WWR.raw.2015"
554,"NZL","New Zealand",0
558,"NIC","Nicaragua",0
562,"NER","Niger",0
566,"NGA","Nigeria",0
570,"NIU","Niue",-8888
408,"PRK","North Korea",0.0222
807,"MKD","North Macedonia",0.0716
578,"NOR","Norway",0
512,"OMN","Oman",0.3192
586,"PAK","Pakistan",3e-04
585,"PLW","Palau",0.1339
591,"PAN","Panama",0
598,"PNG","Papua New Guinea",0
600,"PRY","Paraguay",0
604,"PER","Peru",0.0272
608,"PHL","Philippines",0
616,"POL","Poland",0.0951
620,"PRT","Portugal",0.2904
634,"QAT","Qatar",0.893
178,"COG","Republic of Congo",0
642,"ROU","Romania",0.0746
643,"RUS","Russia",0.059
646,"RWA","Rwanda",0
652,"BLM","Saint Barthelemy",-8888
659,"KNA","Saint Kitts and Nevis",0.0663
662,"LCA","Saint Lucia",0.0912
670,"VCT","Saint Vincent and the Grenadines",0.2085
882,"WSM","Samoa",0.0178
674,"SMR","San Marino",0.4214
678,"STP","Sao Tome and Principe",0
682,"SAU","Saudi Arabia",0.3279
686,"SEN","Senegal",0
688,"SRB","Serbia",0
690,"SYC","Seychelles",0.4261
694,"SLE","Sierra Leone",0
702,"SGP","Singapore",0.4444
534,"SXM","Sint Maarten",0.6633
703,"SVK","Slovakia",0.004
705,"SVN","Slovenia",0
90,"SLB","Solomon Islands",0
706,"SOM","Somalia",0
710,"ZAF","South Africa",0.423
410,"KOR","South Korea",0.1212
728,"SSD","South Sudan",0
724,"ESP","Spain",0.2444
144,"LKA","Sri Lanka",0
275,"PSE","State of Palestine",0.0868
729,"SDN","Sudan",0
740,"SUR","Suriname",0
752,"SWE","Sweden",0.0062
756,"CHE","Switzerland",0.0583
760,"SYR","Syria",0
158,"TWN","Taiwan",0.0243
762,"TJK","Tajikistan",0
834,"TZA","Tanzania",0
764,"THA","Thailand",0.0378
626,"TLS","Timor-Leste",0
768,"TGO","Togo",0
776,"TON","Tonga",0.0444
780,"TTO","Trinidad and Tobago",0.042
788,"TUN","Tunisia",0.737
792,"TUR","Turkiye",0.2663
795,"TKM","Turkmenistan",0.2045
796,"TCA","Turks and Caicos Islands",0.45
798,"TUV","Tuvalu",0.0255
800,"UGA","Uganda",0
804,"UKR","Ukraine",0.028
784,"ARE","United Arab Emirates",0.939
826,"GBR","United Kingdom",0.0364
840,"USA","United States of America",0.1306
858,"URY","Uruguay",0
860,"UZB","Uzbekistan",0.0781
548,"VUT","Vanuatu",0
862,"VEN","Venezuela",0.0647
704,"VNM","Viet Nam",0
876,"WLF","Wallis and Futuna Islands",-8888
732,"ESH","Western Sahara",-8888
887,"YEM","Yemen",0
894,"ZMB","Zambia",0
716,"ZWE","Zimbabwe",0
